"ScheduleHId","ReportId","BeginningBalance","ContributionsReceived","ScheduleCTotal","LoansReceivedTotal","ContributionsAndReceiptsReceived","TotalExpendableFunds","TotalInKindAndExpenditures","LoansPaidTotal","ScheduleITotal","TotalPaymentsMade","ExpendableFundsBalance","TotalUnPaidDebts","BalanceAtStartOfElectionCycle","PreviousReceipts","CurrentReceipts","TotalReceiptsThisElectionCycle","TotalFundsAvailable","PreviousDisbursements","CurrentDisbursements","TotalDisbursements","EndingBalance","ScheduleId","ReportUID"
"284456","312476","36.95","23.76",".00",".00","23.76","60.71","50.52",".00",".00","50.52","10.19",".00","36.95",".00","23.76","23.76","60.71",".00","50.52","50.52","10.19","","{F5D404A1-7DC5-6E1B-A5C1-3528E7C8D0CC}"
"284463","312483","8520.70","175.00",".00",".00","175.00","8695.70","8695.70",".00",".00","8695.70",".00",".00","9816.07","3117.00","175.00","3292.00","13108.07","4412.37","8695.70","13108.07",".00","","{56663D7E-FB4A-7D41-340D-08D742C64AFB}"
"284466","312487","2274.00",".00",".00",".00",".00","2274.00","2274.00",".00",".00","2274.00",".00",".00","2632.93","1.07",".00","1.07","2634.00","360.00","2274.00","2634.00",".00","","{A9B1FB2F-C415-DAF8-932A-3DD864332639}"
"284476","312499",".00",".00",".00","60000.00","60000.00","60000.00","5375.00",".00",".00","5375.00","54625.00","60000.00",".00",".00","60000.00","60000.00","60000.00",".00","5375.00","5375.00","54625.00","","{E24FE1F9-825F-7C0B-3870-E25AEC61978F}"
"284477","312500","54625.00","9000.00",".00",".00","9000.00","63625.00",".00",".00",".00",".00","63625.00","60000.00",".00","60000.00","9000.00","69000.00","69000.00","5375.00",".00","5375.00","63625.00","","{B4A39636-1DED-7B85-52F6-5A0E670D7872}"
"284478","312501","63625.00",".00",".00",".00",".00","63625.00",".00",".00",".00",".00","63625.00","60000.00",".00","69000.00",".00","69000.00","69000.00","5375.00",".00","5375.00","63625.00","","{E0CA8D1E-273A-45D4-82BA-594A4269E248}"
"284479","312502","63625.00",".00",".00",".00",".00","63625.00","500.00",".00",".00","500.00","63125.00","60000.00",".00","69000.00",".00","69000.00","69000.00","5375.00","500.00","5875.00","63125.00","","{3DDC1098-E0D5-1869-528C-A2C44B5931A3}"
"284480","312503","63125.00",".00",".00",".00",".00","63125.00",".00",".00",".00",".00","63125.00","60000.00",".00","69000.00",".00","69000.00","69000.00","5875.00",".00","5875.00","63125.00","","{9BB815EF-D424-3BC4-833B-70C18E09B344}"
"284481","312504","63125.00",".00",".00",".00",".00","63125.00",".00",".00",".00",".00","63125.00","60000.00",".00","69000.00",".00","69000.00","69000.00","5875.00",".00","5875.00","63125.00","","{D46952E5-8198-FB8C-A92A-68268F42E38D}"
"284482","312505","63125.00",".00",".00",".00",".00","63125.00",".00",".00",".00",".00","63125.00","60000.00",".00","69000.00",".00","69000.00","69000.00","5875.00",".00","5875.00","63125.00","","{E4005657-C9A1-7A14-61CA-D5282F5A8A7C}"
"284484","312507","63125.00",".00",".00",".00",".00","63125.00",".00",".00",".00",".00","63125.00","60000.00",".00","69000.00",".00","69000.00","69000.00","5875.00",".00","5875.00","63125.00","","{C793AB30-9189-90FB-5979-9745528D00AA}"
"284485","312508","63125.00",".00",".00",".00",".00","63125.00",".00",".00",".00",".00","63125.00","60000.00","63125.00",".00",".00",".00","63125.00",".00",".00",".00","63125.00","","{0D24FEFE-799E-EAC8-A52F-8F9B8A94CA82}"
"284486","312509","63125.00",".00",".00",".00",".00","63125.00",".00",".00",".00",".00","63125.00","60000.00","63125.00",".00",".00",".00","63125.00",".00",".00",".00","63125.00","","{18D62DDE-0871-90DA-9AA8-23AA75B6635A}"
"284490","312513","1384.67","615.33",".00",".00","615.33","2000.00",".00","2000.00",".00","2000.00",".00",".00","1384.67",".00","615.33","615.33","2000.00",".00","2000.00","2000.00",".00","","{A141A62B-12A9-70BF-0DB2-F17977747A40}"
"284493","312517","565.97",".00",".00",".00",".00","565.97",".00",".00",".00",".00","565.97",".00","565.97",".00",".00",".00","565.97",".00",".00",".00","565.97","","{CEC29562-76BC-E613-9138-32A8224F89E8}"
"284494","312518","565.97",".00",".00",".00",".00","565.97",".00",".00",".00",".00","565.97",".00","565.97",".00",".00",".00","565.97",".00",".00",".00","565.97","","{52DCCB00-6308-66BF-D0F9-CDF9D7FC7357}"
"284495","312519","565.97",".00",".00",".00",".00","565.97",".00",".00","565.97","565.97",".00",".00","565.97",".00",".00",".00","565.97",".00","565.97","565.97",".00","","{C3C8FFE3-9BE6-1894-4D3E-31A84F9A87CE}"
