"State_House_District","Precinct"
31,"301 - NORTH RIVER"
31,"302 - PINE GROVE"
31,"302 - RIVERTON"
31,"305 - SUNNYSIDE"
31,"401 - ARMEL"
31,"401 - EAST SHENANDOAH"
31,"401 - WHITE POST"
31,"402 - SHENANDOAH"
31,"402 - TOWN - WEST SHENANDOAH"
31,"403 - PARKINS MILL"
31,"404 - WHITE OAK SCHOOL"
31,"501 - BUCKMARSH"
31,"501 - SOUTH RIVER"
31,"501 - STEPHENS CITY"
31,"502 - BASS-HOOVER"
31,"502 - BENTONVILLE"
31,"502 - BLUE RIDGE"
31,"503 - CANTERBURG"
31,"504 - BROWNTOWN"
31,"504 - VAUCLUSE SPRING"
31,"505 - AYLOR"
31,"603 - GREENWOOD"
31,"604 - CARPERS VALLEY"
